sexo_jefe,edad_jefe,ingr_trim
1,74,76403.7
1,48,42987.73
1,39,580697.74
2,70,46252.71
2,51,53837.09
2,41,237742.54
2,57,32606.55
1,53,169918.01
1,30,17311.46
1,69,120488.31
2,76,52304.57
1,77,12934.37
1,70,73196.15
1,29,28800.64
1,68,109556.48
1,88,41048.21
1,51,56101.17
1,51,61800.87
1,58,42480.96
1,59,49144.17
2,47,52782.15
2,65,28634.63
1,44,50869.54
2,66,28760.84
1,66,29152.14
1,70,60344.49
1,71,12644.48
1,34,28155.72
2,50,70401.62
2,60,3826.22
1,27,35581.94
2,52,55204.91
2,56,10001.8
1,88,50322.05
1,66,203294.63
2,57,19858.04
2,73,28912.12
1,71,71437.18
2,57,77493.53
2,73,24962.31
2,31,40441.11
1,72,36571.61
1,75,16535.74
1,25,49774.59
2,68,50654.65
1,26,95097.12
1,82,60954.08
1,57,40911.7
2,77,32532.77
1,74,20569.5
1,82,43958.61
2,80,66280.36
1,27,44766.84
2,35,58307.46
1,47,28279.6
1,36,76531.95
1,38,56545.01
2,80,14330.35
1,24,45768.46
1,83,52917.71
2,48,26113.24
2,57,74468.57
1,50,10251.69
1,55,55638.16
1,50,30612.55
1,48,30556.43
1,68,72622.11
2,59,38157.04
1,37,63666.73
1,50,15867.37
1,49,103417.29
1,35,197969.95
1,78,57032.9
1,44,91180.29
1,60,72776.45
2,69,26724.86
1,44,44161.45
2,25,65567.2
2,47,224262.27
2,87,36983.58
2,60,71869.8
2,51,82734.41
1,71,38691.53
2,60,144255.65
1,52,31942.62
2,62,15898.1
2,37,62966.91
1,40,51130.77
1,49,63220.31
2,34,47105.88
2,74,29473.86
2,71,27926.77
1,44,86865.14
2,63,28590.04
1,46,22996.92
2,36,22828.03
2,79,40406.54
1,31,49261.78
1,45,41945.19
1,52,103745.85
1,26,12196.72
1,75,49836.87
1,28,24272.02
1,33,26903.07
1,57,21423.49
1,26,32267.87
1,40,77212.83
2,64,16469.68
2,65,59528.8
1,68,36712.26
2,76,61359.07
2,66,11539.11
1,26,73618.01
1,32,111906.51
1,75,25331.4
2,75,11282.08
2,39,111627.91
1,29,14815
1,59,114342.02
2,51,75628.36
1,80,66979.52
1,49,86625.64
1,80,125839.02
1,83,38032.68
2,77,72302.06
1,48,58929.01
2,81,17843.36
2,65,24798.9
1,68,23016.38
1,28,64897.51
2,77,26283.69
1,79,85102.94
1,39,23954.32
1,29,39180.73
1,36,36279.48
1,36,3423.91
1,52,71938.45
2,70,74796.85
2,49,170053.85
2,56,20969.48
1,23,37394.64
1,26,25724.81
2,70,95783.68
1,85,45645.23
1,44,93846.54
1,39,59137.42
2,70,27754.2
2,67,142412.64
1,54,55690.6
2,62,20137.95
2,52,58721.29
2,53,21860.63
1,52,129491.77
2,82,9238.16
1,63,31686.86
1,43,105314.18
1,82,16239.12
2,64,36378.67
2,68,87885.68
1,69,42735.17
1,64,99917.23
2,52,27157.18
1,81,50477.61
1,34,15816.38
1,24,109711.38
1,51,41072.58
1,57,24383.58
2,74,10612.7
1,74,72714.84
2,70,52304.91
2,81,79199.69
1,46,22930.42
1,63,20672.46
1,41,49876.61
1,77,34449.69
2,59,45489.09
1,71,13290.14
1,80,36574.33
1,44,55624.34
2,65,64833.71
1,57,208819.66
2,29,40002.75
1,74,86638.5
1,49,109269.9
1,50,79327.84
2,71,18000
1,81,63706.7
2,71,93654.05
2,58,31138.51
1,59,89508.14
2,72,332449.28
2,65,102985.6
1,58,37835.96
1,41,61982.09
1,63,191440.64
1,62,97811.42
1,68,28799.98
2,43,69435.28
1,63,204193.3
2,43,71565.59
1,55,77507.84
1,19,27499.77
1,82,121166.92
1,63,178538.89
1,68,278951.94
2,47,23568.08
2,81,21906.97
1,73,135214.71
2,70,68430.83
1,79,31466.07
2,67,64044.02
1,19,31179.19
1,56,32652.57
1,30,53695.54
1,68,20006.99
1,59,33426.06
2,71,52778.35
1,47,27023.52
2,59,32807.36
1,61,128392.45
2,63,96860.96
1,42,57965.08
2,48,77282.53
1,81,63347.11
1,55,19854.24
1,43,91182.42
1,87,15328.49
2,73,61802.5
1,42,150139.02
2,37,57599.05
1,57,91229.46
1,59,15803.76
1,66,23364.32
1,45,30597.33
1,68,146606.54
1,54,24408.53
2,57,17505.65
1,71,59256.49
2,61,35625.39
2,53,57650.69
1,90,22052.42
2,69,20324.32
1,73,66158.83
1,39,48392.03
2,75,15813.4
2,67,93755.24
1,34,58240.57
1,68,91926.48
1,64,46375.14
1,71,55474.93
2,55,85960.72
1,70,114761.8
2,69,24906.02
2,75,48602.28
1,26,40487.58
1,64,72794.72
2,66,14186.33
1,81,47903.21
1,42,22368.36
1,71,29890.86
2,85,31388.62
1,50,69719.64
1,47,121846.42
1,70,439077.65
2,40,102591.15
1,71,174357.57
1,38,31279.09
1,43,79233.56
2,78,28787.18
1,28,21677.95
2,35,103108.99
1,46,85448.15
1,53,84844.18
1,46,110508.7
1,25,43832.63
1,59,78756.96
1,76,58586.48
1,57,27091.19
1,37,20467.9
1,61,54089.42
2,53,63344.17
1,71,86563.69
2,33,59262.29
1,56,95950.79
1,32,158356.87
1,33,61721.29
2,69,24980.56
1,58,70719
1,60,56803.75
1,54,68020.47
1,30,33677.02
2,65,165339.49
2,96,18990.06
1,57,43260.56
1,74,67192.25
1,34,59062.47
2,63,82708.88
2,58,18933.07
1,36,56456.69
1,42,48249.14
1,49,48687.4
1,37,34594.86
2,71,49427.36
2,51,50576.07
1,39,42031.38
2,42,93313.42
2,56,60196.61
2,61,41958.53
2,57,45553.01
2,76,60909.94
2,69,12563.64
1,72,86516.09
1,32,89062.22
1,65,137219.96
1,65,72562.05
2,83,37957.25
2,57,46732.46
1,41,43131.14
1,65,24245.89
1,67,39983.6
